cin,company_name,registered_address,incorporation_date,company_status,paid_up_capital_inr
CIN00001,"Chaudhry, Agate and Mani Ltd","H.No. 57, Tripathi Chowk, Udupi-603647",2016-05-24,Active,5910346
CIN00002,"Kale, Bahri and Krish PLC","H.No. 93, Bhavsar, Durgapur 445975",2020-10-04,Active,5746666
CIN00003,Keer LLC Ltd,"57/15, Venkatesh Street, Adoni-461837",2024-07-25,Active,804280
CIN00004,Chadha-Roy Ltd,"07/723, Taneja Nagar, Bhilwara-066367",2019-03-27,Active,342314
CIN00005,"Swamy, Rattan and Bhatti PLC","55/253, Krishnan Circle, Morena 193880",2018-04-30,Active,9595128
CIN00006,Choudhary Group Inc,"06/134, Bajwa Circle, Aurangabad-145370",2020-11-13,Active,8378307
CIN00007,Shenoy Inc Inc,"H.No. 39, Hayre Street, Kozhikode 101273",2015-12-30,Active,4842309
CIN00008,Kohli-Dalal and Sons,"H.No. 89, Bhakta Path, Guna-507606",2019-02-13,Active,6633529
CIN00009,Uppal-Ramanathan and Sons,"16, Kalla Circle, Bhimavaram 663258",2025-08-30,Active,137154
CIN00010,"Ramesh, Soman and Comar Inc","H.No. 899, Kant Road, Gandhinagar-275592",2023-09-18,Active,7252285
CIN00011,"Balasubramanian, Sarma and Sarna Inc","H.No. 585, Jayaraman, Jaunpur-432442",2020-12-14,Active,3342337
CIN00012,Acharya LLC LLC,"79/185, Brahmbhatt Ganj, Kottayam 032779",2022-07-23,Active,7880584
CIN00013,"Agrawal, Chopra and Tank PLC","53/29, Kade Road, Munger 204938",2023-03-05,Active,5952333
CIN00014,Konda LLC and Sons,"032, Gandhi Circle, Shivpuri 407788",2020-05-19,Active,196906
CIN00015,"Deep, Sastry and Sahota and Sons","28, Gaba Road, Siwan-581755",2020-09-30,Active,3257323
CIN00016,Behl LLC and Sons,"H.No. 951, Dey Nagar, Davanagere-502834",2016-11-25,Active,4285116
CIN00017,Bala-Goel Inc,"H.No. 79, Bath Chowk, Pali 351069",2017-08-02,Active,8133261
CIN00018,Brahmbhatt-Grewal LLC,"87/945, Borah Marg, Guna 576526",2024-06-23,Active,1285046
CIN00019,"Ramesh, Karnik and Handa Ltd","H.No. 19, Jain Circle, Ajmer 184914",2019-06-04,Active,7778885
CIN00020,Mangat-Jhaveri and Sons,"H.No. 38, Dora Zila, Ajmer-957509",2015-12-16,Active,1755245
CIN00021,"Kothari, Jani and Soman PLC","H.No. 625, Ravi Circle, Tadepalligudem-891897",2021-07-12,Active,5584861
CIN00022,Ganesan-Borah and Sons,"77, Sharma Zila, Mau 399037",2020-04-06,Active,330174
CIN00023,Setty PLC Inc,"68, Ahluwalia, Bahraich 430951",2020-08-12,Active,938615
CIN00024,"Sani, Gopal and Kurian Ltd","43/925, Rama Zila, Nadiad 444650",2023-04-04,Active,4056056
CIN00025,"Yohannan, Loyal and Sarraf Group","H.No. 031, Andra Nagar, Giridih-609115",2021-11-17,Active,7418178
CIN00026,"Agarwal, Majumdar and Chaudhry PLC","745, Bains Chowk, Kamarhati-891367",2023-11-01,Active,8695628
CIN00027,Soni-Bala Inc,"073, Grover, Sambhal 119592",2019-06-29,Active,7544621
CIN00028,Singhal Ltd PLC,"80/14, Bail, Chinsurah 609141",2023-03-31,Active,5934938
CIN00029,Chokshi Group LLC,"19, Sura Road, Kalyan-Dombivli 658131",2022-03-20,Active,4008733
CIN00030,Gopal-Shankar PLC,"08/654, Datta Circle, Vijayanagaram-878753",2020-07-19,Active,5838040
CIN00031,Deep Inc Group,"00, Toor Road, Kalyan-Dombivli-493021",2025-08-03,Active,3155125
CIN00032,Bhasin-Varghese Ltd,"H.No. 225, Deep, Vijayanagaram-761348",2021-10-17,Active,9995375
CIN00033,"Handa, Sabharwal and Bal and Sons","510, Barad Marg, Bhilai 609978",2020-09-02,Active,6783626
CIN00034,Sawhney Group and Sons,"18/844, Rau Street, Karnal-165554",2019-01-03,Active,6198862
CIN00035,Solanki-Lala Group,"16/96, Tripathi Chowk, Indore 362916",2017-08-24,Active,4726831
CIN00036,"Bera, Bansal and Deshmukh LLC","79, Balay Path, Thoothukudi 067615",2019-03-30,Active,7878845
CIN00037,Solanki Ltd Group,"H.No. 90, Sengupta Zila, Mumbai-857314",2025-08-30,Active,120405
CIN00038,Acharya-Gandhi Ltd,"H.No. 16, Suresh Nagar, Eluru 626141",2021-08-21,Active,9003844
CIN00039,Halder-Sandal PLC,"285, Raju Street, Bharatpur-890962",2021-12-26,Active,4443666
CIN00040,"Thakkar, Khosla and Aggarwal PLC","H.No. 279, Sahni Marg, Guntakal-971226",2021-03-22,Active,3369798
CIN00041,Reddy-Sheth and Sons,"H.No. 799, Rama Path, Danapur-735449",2021-02-15,Active,8364366
CIN00042,Biswas-Sane and Sons,"81/48, Gour Road, Kadapa-589378",2016-01-08,Active,2511465
CIN00043,"Butala, Bala and Khatri Inc","30, Karpe Nagar, Surendranagar Dudhrej 358501",2019-11-02,Active,7138255
CIN00044,"Brahmbhatt, Barad and Virk Inc","516, Sane Marg, Nangloi Jat-361262",2015-10-16,Active,543415
